0,AIOneName,AIOneDiff,AITwoName,AITwoDiff,WhoWentFirst,WinnerName,WinnerDiff,WinnerSymbol
150,AI_1,1,AI_2,0,1,AI_2,0,O
151,AI_1,2,AI_2,2,1,AI_2,2,O
152,AI_1,1,AI_2,2,1,AI_2,2,O
153,AI_1,2,AI_2,0,0,AI_2,0,O
154,AI_1,2,AI_2,0,1,AI_2,0,O
155,AI_1,2,AI_2,2,0,TIE,N/A,N/A
156,AI_1,2,AI_2,0,0,AI_2,0,O
157,AI_1,2,AI_2,0,1,AI_1,2,X
158,AI_1,1,AI_2,1,1,TIE,N/A,N/A
159,AI_1,1,AI_2,1,1,TIE,N/A,N/A
160,AI_1,1,AI_2,1,0,TIE,N/A,N/A
161,AI_1,2,AI_2,1,0,TIE,N/A,N/A
162,AI_1,2,AI_2,0,0,AI_1,2,X
163,AI_1,0,AI_2,0,1,AI_1,0,X
164,AI_1,2,AI_2,0,1,AI_2,0,O
165,AI_1,2,AI_2,2,1,AI_2,2,O
166,AI_1,2,AI_2,2,1,AI_2,2,O
167,AI_1,0,AI_2,2,0,TIE,N/A,N/A
168,AI_1,2,AI_2,2,1,AI_2,2,O
169,AI_1,1,AI_2,0,1,AI_2,0,O
170,AI_1,2,AI_2,2,0,TIE,N/A,N/A
171,AI_1,0,AI_2,2,1,AI_2,2,O
172,AI_1,0,AI_2,1,0,TIE,N/A,N/A
173,AI_1,1,AI_2,1,1,TIE,N/A,N/A
174,AI_1,1,AI_2,2,0,TIE,N/A,N/A
175,AI_1,2,AI_2,0,0,AI_1,2,X
176,AI_1,0,AI_2,2,1,AI_2,2,O
177,AI_1,2,AI_2,2,1,AI_2,2,O
178,AI_1,2,AI_2,2,1,AI_2,2,O
179,AI_1,0,AI_2,2,1,AI_2,2,O
180,AI_1,2,AI_2,2,0,TIE,N/A,N/A
181,AI_1,1,AI_2,2,0,TIE,N/A,N/A
182,AI_1,0,AI_2,2,1,AI_2,2,O
183,AI_1,2,AI_2,2,0,TIE,N/A,N/A
184,AI_1,0,AI_2,2,0,TIE,N/A,N/A
185,AI_1,1,AI_2,0,1,AI_2,0,O
186,AI_1,1,AI_2,0,1,AI_1,1,X
187,AI_1,1,AI_2,0,1,AI_1,1,X
188,AI_1,2,AI_2,2,1,AI_2,2,O
189,AI_1,1,AI_2,2,1,AI_2,2,O
190,AI_1,0,AI_2,1,0,TIE,N/A,N/A
191,AI_1,0,AI_2,2,0,TIE,N/A,N/A
192,AI_1,0,AI_2,2,1,AI_2,2,O
193,AI_1,2,AI_2,2,0,TIE,N/A,N/A
194,AI_1,2,AI_2,2,1,AI_2,2,O
195,AI_1,1,AI_2,1,1,TIE,N/A,N/A
196,AI_1,2,AI_2,0,0,AI_1,2,X
197,AI_1,2,AI_2,2,1,AI_2,2,O
198,AI_1,0,AI_2,2,0,TIE,N/A,N/A
199,AI_1,1,AI_2,1,1,TIE,N/A,N/A
200,AI_1,1,AI_2,1,1,AI_1,1,X
201,AI_1,2,AI_2,2,1,AI_2,2,O
202,AI_1,1,AI_2,1,0,TIE,N/A,N/A
203,AI_1,1,AI_2,2,1,AI_2,2,O
204,AI_1,2,AI_2,2,0,TIE,N/A,N/A
205,AI_1,2,AI_2,0,0,AI_1,2,X
206,AI_1,1,AI_2,1,1,TIE,N/A,N/A
207,AI_1,1,AI_2,2,1,AI_2,2,O
208,AI_1,2,AI_2,2,0,TIE,N/A,N/A
209,AI_1,2,AI_2,0,0,AI_1,2,X
210,AI_1,2,AI_2,1,1,AI_1,2,X
211,AI_1,0,AI_2,2,1,AI_2,2,O
212,AI_1,0,AI_2,0,0,AI_1,0,X
213,AI_1,1,AI_2,0,0,AI_2,0,O
214,AI_1,2,AI_2,2,1,AI_2,2,O
215,AI_1,2,AI_2,0,1,AI_2,0,O
216,AI_1,0,AI_2,2,1,AI_2,2,O
217,AI_1,0,AI_2,0,0,AI_2,0,O
218,AI_1,2,AI_2,1,1,TIE,N/A,N/A
219,AI_1,0,AI_2,1,0,TIE,N/A,N/A
220,AI_1,0,AI_2,2,0,TIE,N/A,N/A
221,AI_1,2,AI_2,2,1,AI_2,2,O
222,AI_1,2,AI_2,2,0,TIE,N/A,N/A
223,AI_1,1,AI_2,1,1,TIE,N/A,N/A
224,AI_1,2,AI_2,2,0,TIE,N/A,N/A
225,AI_1,0,AI_2,0,1,AI_2,0,O
226,AI_1,2,AI_2,2,1,AI_2,2,O
227,AI_1,0,AI_2,1,0,TIE,N/A,N/A
228,AI_1,1,AI_2,2,0,TIE,N/A,N/A
229,AI_1,2,AI_2,0,1,AI_1,2,X
230,AI_1,2,AI_2,1,0,TIE,N/A,N/A
231,AI_1,1,AI_2,0,1,AI_1,1,X
232,AI_1,0,AI_2,1,0,TIE,N/A,N/A
233,AI_1,2,AI_2,2,1,AI_2,2,O
